ID,Planting,Month,Treatment,Species,Number of seeds intact,Number of damaged seeds,Evidence of damaged seeds?,Notes
479,TC,October,Rodents and Inverts,HEDI,6,2,1 just shell 1 lost a lot of shell (not same seed parts),
480,TC,October,Rodents and Inverts,LOMA,6,1,half eaten,
481,TC,October,Rodents and Inverts,LOCO,6,1,half eaten,
482,TC,October,Rodents and Inverts,TRRE,5,3,1 half eaten 2 chewed on 1 shell,
483,TC,October,Inverts,ANGE,5,,,
484,TC,October,Inverts,DAPU,8,,,
485,TC,October,Inverts,ELCA,6,2,1 chewed on 1 half eaten,
486,TC,October,Inverts,HEDI,7,1,mostly eaten,
487,TC,October,Inverts,LOMA,8,,,
488,TC,October,Inverts,LOCO,6,,,
489,TC,October,Inverts,TRRE,6,1,half eaten,
490,TCE,October,Rodents and Inverts,ANGE,4,,,
491,TCE,October,Rodents and Inverts,DAPU,8,,,
492,TCE,October,Rodents and Inverts,ELCA,4,,,
493,TCE,October,Rodents and Inverts,HEDI,4,3,just shells,
494,TCE,October,Rodents and Inverts,LOMA,4,1,mostly eaten,
495,TCE,October,Rodents and Inverts,LOCO,7,,,
496,TCE,October,Rodents and Inverts,TRRE,8,,,
497,TCE,October,Inverts,ANGE,9,,,"i hae a feeling some of these might be lookalikes but I don't think so, not sure"
498,TCE,October,Inverts,DAPU,8,,,
499,TCE,October,Inverts,ELCA,5,1,chewed on,
500,TCE,October,Inverts,HEDI,7,,,
501,TCE,October,Inverts,LOMA,8,,,
502,TCE,October,Inverts,LOCO,7,,,
503,TCE,October,Inverts,TRRE,8,,,
504,TCR,October,Rodents and Inverts,ANGE,3,,,
505,TCR,October,Rodents and Inverts,DAPU,2,,,
506,TCR,October,Rodents and Inverts,ELCA,3,1,1 half eaten ,
507,TCR,October,Rodents and Inverts,HEDI,1,1,just shell,
508,TCR,October,Rodents and Inverts,LOMA,0,,,
509,TCR,October,Rodents and Inverts,LOCO,3,,,
510,TCR,October,Rodents and Inverts,TRRE,4,2,2 half eaten,
511,TCR,October,Inverts,ANGE,6,,,2 lookalikes
512,TCR,October,Inverts,DAPU,8,,,
513,TCR,October,Inverts,ELCA,6,2,1 half eaten 1 chewed on,
514,TCR,October,Inverts,HEDI,8,,,
515,TCR,October,Inverts,LOMA,7,1,broken in half and chewed on,
516,TCR,October,Inverts,LOCO,5,,,
517,TCR,October,Inverts,TRRE,4,,,
518,WH,October,Rodents and Inverts,ANGE,8,,,
519,WH,October,Rodents and Inverts,DAPU,8,,,
520,WH,October,Rodents and Inverts,ELCA,0,5,mostly eaten,
521,WH,October,Rodents and Inverts,HEDI,8,,,
522,WH,October,Rodents and Inverts,LOMA,6,2,chewed on,
523,WH,October,Rodents and Inverts,LOCO,8,,,
524,WH,October,Rodents and Inverts,TRRE,8,,,
525,WH,October,Inverts,ANGE,8,,,
526,WH,October,Inverts,DAPU,7,,,
527,WH,October,Inverts,ELCA,6,1,half eaten,
528,WH,October,Inverts,HEDI,8,,,
529,WH,October,Inverts,LOMA,7,1,broke in half and chewed on,
530,WH,October,Inverts,LOCO,8,,,
531,WH,October,Inverts,TRRE,7,,,
